Model,MAE,MSE,R2 Score
Linear Regression,1.319026069926501,4.7268092277057825,0.7694806958544698
LASSO,1.2426129315684298,4.45571514717087,0.7827015422632029
Ridge,1.3190319770586034,4.725537156028177,0.7695427328574075
